ID,1-1,Credits_1-1,1-2,Credits_1-2,2-1,Credits_2-1,2-2,Credits_2-2,3-1,Credits_3-1,Total Credits,CGPA,Supplementary Appearances
23035A0315,,,,,7.53,25.5,7.21,21.5,0.0,18.5,65.5,0.0,***
23035A0316,,,,,7.63,25.5,7.28,21.5,7.51,21.5,68.5,7.48,
23035A0317,,,,,6.94,25.5,0.0,15.5,7.02,21.5,62.5,0.0,***
23035A0318,,,,,8.08,25.5,7.56,21.5,7.88,21.5,68.5,7.85,*
23035A0319,,,,,7.22,25.5,0.0,18.5,7.23,21.5,65.5,0.0,**
23035A0320,,,,,7.37,25.5,6.95,21.5,6.88,21.5,68.5,7.08,*
23035A0321,,,,,7.71,25.5,7.19,21.5,7.51,21.5,68.5,7.48,
23035A0322,,,,,8.41,25.5,7.63,21.5,8.44,21.5,68.5,8.17,
23035A0323,,,,,7.39,25.5,6.79,21.5,7.23,21.5,68.5,7.15,*
23035A0324,,,,,7.59,25.5,7.91,21.5,7.74,21.5,68.5,7.74,
23035A0325,,,,,9.76,25.5,8.42,21.5,8.6,21.5,68.5,8.98,
23035A0326,,,,,8.14,25.5,7.95,21.5,8.0,21.5,68.5,8.04,*
23035A0327,,,,,8.25,25.5,8.6,21.5,8.79,21.5,68.5,8.53,
23035A0328,,,,,7.86,25.5,8.23,21.5,7.98,21.5,68.5,8.01,*
23035A0329,,,,,7.75,25.5,7.26,21.5,7.19,21.5,68.5,7.42,*
23035A0331,,,,,8.55,25.5,8.19,21.5,8.23,21.5,68.5,8.34,
23035A0332,,,,,7.18,25.5,0.0,18.5,7.51,21.5,65.5,0.0,**
23035A0333,,,,,7.69,25.5,8.09,21.5,8.07,21.5,68.5,7.93,*
23035A0334,,,,,8.69,25.5,7.95,21.5,8.51,21.5,68.5,8.4,
23035A0335,,,,,7.59,25.5,7.28,21.5,7.79,21.5,68.5,7.56,
23035A0336,,,,,8.04,25.5,7.56,21.5,7.56,21.5,68.5,7.74,
23035A0337,,,,,7.47,25.5,7.6,21.5,6.95,21.5,68.5,7.35,*
23035A0338,,,,,7.84,25.5,7.53,21.5,8.35,21.5,68.5,7.9,
23035A0339,,,,,6.96,25.5,6.26,21.5,0.0,18.5,65.5,0.0,*
23035A0340,,,,,8.35,25.5,8.09,21.5,7.95,21.5,68.5,8.14,
23035A0341,,,,,8.16,25.5,8.0,21.5,7.28,21.5,68.5,7.83,**
23035A0342,,,,,7.86,25.5,6.79,21.5,7.26,21.5,68.5,7.34,***
