ID,1-1,Credits_1-1,1-2,Credits_1-2,2-1,Credits_2-1,Total Credits,CGPA,Supplementary Appearances
23031A0232,0.0,16.5,0.0,14.5,0.0,5.0,36.0,0.0,***
23031A0233,6.46,19.5,0.0,17.5,6.22,20.0,57.0,0.0,*
23031A0234,6.26,19.5,0.0,17.5,0.0,14.0,51.0,0.0,***
23031A0235,6.69,19.5,6.59,20.5,0.0,17.0,57.0,0.0,*
23031A0237,6.64,19.5,6.46,20.5,6.3,20.0,60.0,6.47,*
23031A0238,0.0,16.5,0.0,5.5,0.0,5.0,27.0,0.0,***
23031A0240,7.31,19.5,5.95,20.5,7.18,20.0,60.0,6.8,*
23031A0241,7.21,19.5,7.0,20.5,7.05,20.0,60.0,7.08,
23031A0242,0.0,13.5,0.0,11.5,0.0,14.0,39.0,0.0,***
23031A0243,7.51,19.5,7.39,20.5,0.0,17.0,57.0,0.0,
